상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
111,[MOON] 더미 상품 111 (블랙/260),패션의류 > 하의 > 청바지,136000,37,색상,블랙,사이즈,260,MOON,MDL-0111,880351165184,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 111 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 260, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,MOON 제조사,과세,품절,전시중,12708914186
112,[COOKMASTER] 더미 상품 112 (그레이/S),디지털/가전 > 노트북,19500,73,색상,그레이,사이즈,S,COOKMASTER,MDL-0112,880328010635,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 112 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,베트남,COOKMASTER 제조사,면세,판매중,전시중,12708914254
113,[COOKMASTER] 더미 상품 113 (블랙/S),패션잡화 > 가방 > 백팩,74500,107,색상,블랙,사이즈,S,COOKMASTER,MDL-0113,880176156211,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 113 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: S, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,COOKMASTER 제조사,면세,품절,전시안함,12708914329
114,[HOMEPLUS] 더미 상품 114 (블랙/260),디지털/가전 > 모니터,36000,131,색상,블랙,사이즈,260,HOMEPLUS,MDL-0114,880556981558,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 114 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 260, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,HOMEPLUS 제조사,면세,품절,전시중,12708914457
115,[URBANWEAR] 더미 상품 115 (그레이/FREE),디지털/가전 > 모니터,26000,161,색상,그레이,사이즈,FREE,URBANWEAR,MDL-0115,880743210937,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 115 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: FREE, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,URBANWEAR 제조사,과세,품절,전시중,12708914524
116,[NAVYFOX] 더미 상품 116 (네이비/M),디지털/가전 > 노트북,109000,79,색상,네이비,사이즈,M,NAVYFOX,MDL-0116,880939051838,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 116 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,미국,NAVYFOX 제조사,과세,품절,전시중,12708914581
117,[COOKMASTER] 더미 상품 117 (네이비/XL),패션의류 > 하의 > 청바지,144500,67,색상,네이비,사이즈,XL,COOKMASTER,MDL-0117,880178959791,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 117 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,일본,COOKMASTER 제조사,면세,품절,전시안함,12708914682
118,[COOKMASTER] 더미 상품 118 (화이트/270),패션잡화 > 가방 > 백팩,117000,143,색상,화이트,사이즈,270,COOKMASTER,MDL-0118,880617994238,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 118 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,COOKMASTER 제조사,과세,품절,전시중,12708914766
120,[STARLINE] 더미 상품 120 (레드/250),디지털/가전 > 모니터,145500,164,색상,레드,사이즈,250,STARLINE,MDL-0120,880204525514,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 120 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,중국,STARLINE 제조사,면세,판매중,전시중,12708914859
121,[MOON] 더미 상품 121 (레드/260),디지털/가전 > 노트북,131000,145,색상,레드,사이즈,260,MOON,MDL-0121,880646765294,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 121 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 260, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,미국,MOON 제조사,면세,품절,전시중,12708914973
122,[STARLINE] 더미 상품 122 (베이지/XL),디지털/가전 > 노트북,30000,30,색상,베이지,사이즈,XL,STARLINE,MDL-0122,880145627221,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 122 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: XL, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,STARLINE 제조사,면세,판매중,전시중,12708915035
124,[URBANWEAR] 더미 상품 124 (그레이/FREE),패션의류 > 하의 > 청바지,6000,50,색상,그레이,사이즈,FREE,URBANWEAR,MDL-0124,880386688310,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 124 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: FREE, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,일본,URBANWEAR 제조사,면세,품절,전시중,12708915129
127,[HOMEPLUS] 더미 상품 127 (네이비/L),패션의류 > 상의 > 티셔츠,105500,88,색상,네이비,사이즈,L,HOMEPLUS,MDL-0127,880936770769,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 127 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: L, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,HOMEPLUS 제조사,면세,품절,전시중,12708915202
128,[STARLINE] 더미 상품 128 (화이트/M),패션잡화 > 가방 > 백팩,64000,176,색상,화이트,사이즈,M,STARLINE,MDL-0128,880998532675,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 128 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: M, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,국산,STARLINE 제조사,면세,판매중,전시안함,12708915285
130,[COOKMASTER] 더미 상품 130 (네이비/M),패션의류 > 하의 > 청바지,120500,171,색상,네이비,사이즈,M,COOKMASTER,MDL-0130,880849893505,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 130 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: M, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,일본,COOKMASTER 제조사,면세,품절,전시중,12708915338
131,[COOKMASTER] 더미 상품 131 (네이비/250),패션의류 > 하의 > 청바지,77500,64,색상,네이비,사이즈,250,COOKMASTER,MDL-0131,880177716332,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 131 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 250, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,COOKMASTER 제조사,면세,판매중,전시안함,12708915411
132,[NAVYFOX] 더미 상품 132 (그레이/260),패션의류 > 상의 > 티셔츠,108000,43,색상,그레이,사이즈,260,NAVYFOX,MDL-0132,880150857301,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 132 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,NAVYFOX 제조사,과세,품절,전시중,12708915503
133,[HOMEPLUS] 더미 상품 133 (그레이/M),디지털/가전 > 노트북,22000,8,색상,그레이,사이즈,M,HOMEPLUS,MDL-0133,880508600289,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 133 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,HOMEPLUS 제조사,면세,판매중,전시중,12708915586
135,[COOKMASTER] 더미 상품 135 (베이지/L),패션잡화 > 가방 > 백팩,139500,192,색상,베이지,사이즈,L,COOKMASTER,MDL-0135,880604985914,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 135 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,독일,COOKMASTER 제조사,과세,품절,전시안함,12708915651
136,[GREENPET] 더미 상품 136 (베이지/M),디지털/가전 > 노트북,147000,5,색상,베이지,사이즈,M,GREENPET,MDL-0136,880299641615,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 136 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,중국,GREENPET 제조사,과세,판매중,전시안함,12708915750
137,[URBANWEAR] 더미 상품 137 (베이지/270),디지털/가전 > 모니터,7000,59,색상,베이지,사이즈,270,URBANWEAR,MDL-0137,880492201579,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 137 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 270, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,미국,URBANWEAR 제조사,과세,품절,전시중,12708915848
139,[MOON] 더미 상품 139 (그레이/S),디지털/가전 > 노트북,148000,121,색상,그레이,사이즈,S,MOON,MDL-0139,880325428046,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 139 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,MOON 제조사,면세,판매중,전시안함,12708915924
140,[MOON] 더미 상품 140 (레드/260),디지털/가전 > 모니터,59000,75,색상,레드,사이즈,260,MOON,MDL-0140,880495494663,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 140 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 260, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,독일,MOON 제조사,과세,품절,전시중,12708916024
141,[GREENPET] 더미 상품 141 (네이비/L),패션의류 > 상의 > 티셔츠,45500,170,색상,네이비,사이즈,L,GREENPET,MDL-0141,880724463896,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 141 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: L, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,GREENPET 제조사,면세,품절,전시안함,12708916109
142,[COOKMASTER] 더미 상품 142 (네이비/S),디지털/가전 > 모니터,46500,36,색상,네이비,사이즈,S,COOKMASTER,MDL-0142,880241326173,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 142 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: S, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,중국,COOKMASTER 제조사,면세,판매중,전시안함,12708916188
147,[MOON] 더미 상품 147 (베이지/FREE),반려동물 > 강아지용품 > 사료,56000,71,색상,베이지,사이즈,FREE,MOON,MDL-0147,880175151980,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 147 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,MOON 제조사,과세,판매중,전시안함,12708916277
148,[COOKMASTER] 더미 상품 148 (베이지/250),디지털/가전 > 노트북,138500,112,색상,베이지,사이즈,250,COOKMASTER,MDL-0148,880186707857,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 148 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 250, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,베트남,COOKMASTER 제조사,면세,품절,전시중,12708916367
150,[GREENPET] 더미 상품 150 (화이트/S),반려동물 > 강아지용품 > 사료,93000,56,색상,화이트,사이즈,S,GREENPET,MDL-0150,880643808910,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 150 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: S, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,중국,GREENPET 제조사,면세,품절,전시중,12708916513
152,[NAVYFOX] 더미 상품 152 (화이트/270),패션의류 > 상의 > 티셔츠,106500,121,색상,화이트,사이즈,270,NAVYFOX,MDL-0152,880690326208,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 152 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,NAVYFOX 제조사,과세,판매중,전시안함,12708916617
153,[TECHONE] 더미 상품 153 (화이트/XL),반려동물 > 강아지용품 > 사료,59000,15,색상,화이트,사이즈,XL,TECHONE,MDL-0153,880249004025,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 153 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: XL, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,일본,TECHONE 제조사,면세,판매중,전시안함,12708916685
154,[STARLINE] 더미 상품 154 (레드/270),패션의류 > 상의 > 티셔츠,27000,10,색상,레드,사이즈,270,STARLINE,MDL-0154,880423473335,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 154 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,STARLINE 제조사,면세,판매중,전시중,12708916749
155,[URBANWEAR] 더미 상품 155 (블랙/250),패션의류 > 상의 > 티셔츠,101000,140,색상,블랙,사이즈,250,URBANWEAR,MDL-0155,880993959503,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 155 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,URBANWEAR 제조사,면세,품절,전시중,12708916855
156,[HOMEPLUS] 더미 상품 156 (블랙/250),패션의류 > 상의 > 티셔츠,148000,86,색상,블랙,사이즈,250,HOMEPLUS,MDL-0156,880986041234,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 156 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 250, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,국산,HOMEPLUS 제조사,과세,품절,전시중,12708916944
157,[COOKMASTER] 더미 상품 157 (네이비/XL),패션잡화 > 가방 > 백팩,127000,21,색상,네이비,사이즈,XL,COOKMASTER,MDL-0157,880361686445,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 157 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,COOKMASTER 제조사,면세,품절,전시중,12708917015
160,[TECHONE] 더미 상품 160 (네이비/XL),디지털/가전 > 모니터,145500,67,색상,네이비,사이즈,XL,TECHONE,MDL-0160,880853780621,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 160 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,TECHONE 제조사,면세,판매중,전시중,12708917106
161,[TECHONE] 더미 상품 161 (네이비/FREE),패션의류 > 하의 > 청바지,23500,67,색상,네이비,사이즈,FREE,TECHONE,MDL-0161,880854373735,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 161 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: FREE, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,TECHONE 제조사,과세,품절,전시중,12708917185
162,[COOKMASTER] 더미 상품 162 (그레이/M),반려동물 > 강아지용품 > 사료,113000,195,색상,그레이,사이즈,M,COOKMASTER,MDL-0162,880337364532,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 162 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: M, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,베트남,COOKMASTER 제조사,과세,판매중,전시중,12708917253
163,[COOKMASTER] 더미 상품 163 (그레이/260),패션의류 > 상의 > 티셔츠,74500,42,색상,그레이,사이즈,260,COOKMASTER,MDL-0163,880486535803,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 163 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,COOKMASTER 제조사,면세,품절,전시안함,12708917324
164,[GREENPET] 더미 상품 164 (블랙/L),패션잡화 > 가방 > 백팩,31000,138,색상,블랙,사이즈,L,GREENPET,MDL-0164,880341176344,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 164 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,미국,GREENPET 제조사,과세,판매중,전시안함,12708917402
165,[NAVYFOX] 더미 상품 165 (베이지/L),반려동물 > 강아지용품 > 사료,79000,177,색상,베이지,사이즈,L,NAVYFOX,MDL-0165,880831483805,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 165 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,중국,NAVYFOX 제조사,면세,품절,전시중,12708917507
166,[TECHONE] 더미 상품 166 (네이비/XL),반려동물 > 강아지용품 > 사료,112500,120,색상,네이비,사이즈,XL,TECHONE,MDL-0166,880805863470,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 166 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,TECHONE 제조사,면세,판매중,전시중,12708917581
167,[URBANWEAR] 더미 상품 167 (레드/L),패션의류 > 상의 > 티셔츠,133000,96,색상,레드,사이즈,L,URBANWEAR,MDL-0167,880586773750,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 167 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: L, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,URBANWEAR 제조사,과세,품절,전시중,12708917664
168,[URBANWEAR] 더미 상품 168 (그레이/S),패션의류 > 상의 > 티셔츠,46500,171,색상,그레이,사이즈,S,URBANWEAR,MDL-0168,880783248476,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 168 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,미국,URBANWEAR 제조사,과세,판매중,전시중,12708917725
171,[NAVYFOX] 더미 상품 171 (네이비/XL),디지털/가전 > 모니터,93000,196,색상,네이비,사이즈,XL,NAVYFOX,MDL-0171,880427054630,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 171 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,NAVYFOX 제조사,과세,판매중,전시중,12708917799
172,[TECHONE] 더미 상품 172 (화이트/L),패션잡화 > 가방 > 백팩,55500,88,색상,화이트,사이즈,L,TECHONE,MDL-0172,880368250699,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 172 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,베트남,TECHONE 제조사,면세,품절,전시중,12708917903
