행번호,상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
77,76,[HOMEPLUS] 더미 상품 076 (화이트/XL),식품 > 과자/간식 > 과자,15000,114,색상,화이트,사이즈,XL,HOMEPLUS,MDL-0076,880983502771,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 076 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,HOMEPLUS 제조사,면세,판매중,전시안함,,12706816118
78,77,[HOMEPLUS] 더미 상품 077 (베이지/FREE),패션의류 > 하의 > 청바지,44500,123,색상,베이지,사이즈,FREE,HOMEPLUS,MDL-0077,880567531709,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 077 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,HOMEPLUS 제조사,과세,판매중,전시중,,12706816189
79,78,[URBANWEAR] 더미 상품 078 (베이지/FREE),패션잡화 > 가방 > 백팩,100000,94,색상,베이지,사이즈,FREE,URBANWEAR,MDL-0078,880990419424,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 078 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,베트남,URBANWEAR 제조사,과세,판매중,전시안함,,12706816256
80,79,[COOKMASTER] 더미 상품 079 (그레이/M),패션의류 > 상의 > 티셔츠,130500,142,색상,그레이,사이즈,M,COOKMASTER,MDL-0079,880859798616,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 079 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: M, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,국산,COOKMASTER 제조사,과세,품절,전시중,,12706816331
81,80,[MOON] 더미 상품 080 (레드/FREE),패션의류 > 상의 > 티셔츠,36000,91,색상,레드,사이즈,FREE,MOON,MDL-0080,880272702454,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 080 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,미국,MOON 제조사,과세,판매중,전시안함,,12706816402
82,81,[GREENPET] 더미 상품 081 (베이지/260),식품 > 과자/간식 > 과자,75500,115,색상,베이지,사이즈,260,GREENPET,MDL-0081,880769202092,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 081 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 260, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,GREENPET 제조사,과세,판매중,전시중,,12706816475
83,82,[NAVYFOX] 더미 상품 082 (레드/L),디지털/가전 > 노트북,28000,59,색상,레드,사이즈,L,NAVYFOX,MDL-0082,880866684426,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 082 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,NAVYFOX 제조사,면세,판매중,전시중,,12706816543
84,83,[HOMEPLUS] 더미 상품 083 (블랙/L),패션잡화 > 가방 > 백팩,99000,44,색상,블랙,사이즈,L,HOMEPLUS,MDL-0083,880930080675,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 083 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,HOMEPLUS 제조사,과세,품절,전시중,,12706816613
85,84,[MOON] 더미 상품 084 (그레이/XL),식품 > 과자/간식 > 과자,142000,82,색상,그레이,사이즈,XL,MOON,MDL-0084,880551337737,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 084 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,베트남,MOON 제조사,과세,품절,전시중,,12706816703
86,85,[HOMEPLUS] 더미 상품 085 (블랙/S),패션잡화 > 가방 > 백팩,36000,190,색상,블랙,사이즈,S,HOMEPLUS,MDL-0085,880781117549,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 085 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: S, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,미국,HOMEPLUS 제조사,면세,품절,전시안함,,12706816771
87,86,[URBANWEAR] 더미 상품 086 (그레이/L),패션의류 > 상의 > 티셔츠,146000,46,색상,그레이,사이즈,L,URBANWEAR,MDL-0086,880952000874,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 086 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: L, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,독일,URBANWEAR 제조사,면세,판매중,전시안함,,12706816844
88,87,[MOON] 더미 상품 087 (베이지/S),식품 > 과자/간식 > 과자,89500,98,색상,베이지,사이즈,S,MOON,MDL-0087,880875757981,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 087 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: S, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,MOON 제조사,면세,품절,전시안함,,12706816904
89,88,[GREENPET] 더미 상품 088 (베이지/FREE),패션의류 > 상의 > 티셔츠,79500,85,색상,베이지,사이즈,FREE,GREENPET,MDL-0088,880480947048,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 088 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,베트남,GREENPET 제조사,면세,품절,전시안함,,12706816969
90,89,[URBANWEAR] 더미 상품 089 (레드/250),반려동물 > 강아지용품 > 사료,48500,90,색상,레드,사이즈,250,URBANWEAR,MDL-0089,880225646065,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 089 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,URBANWEAR 제조사,과세,품절,전시중,,12706817041
91,90,[MOON] 더미 상품 090 (레드/XL),생활/주방 > 주방용품 > 프라이팬,86000,183,색상,레드,사이즈,XL,MOON,MDL-0090,880101438119,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 090 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: XL, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,MOON 제조사,과세,품절,전시중,,12706817113
92,91,[MOON] 더미 상품 091 (네이비/260),디지털/가전 > 모니터,10500,91,색상,네이비,사이즈,260,MOON,MDL-0091,880373261250,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 091 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 260, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,중국,MOON 제조사,면세,판매중,전시안함,,12706817180
93,92,[TECHONE] 더미 상품 092 (네이비/270),패션의류 > 상의 > 티셔츠,68000,198,색상,네이비,사이즈,270,TECHONE,MDL-0092,880573033891,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 092 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 270, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,베트남,TECHONE 제조사,과세,품절,전시중,,12706817246
94,93,[GREENPET] 더미 상품 093 (그레이/260),생활/주방 > 주방용품 > 프라이팬,53500,156,색상,그레이,사이즈,260,GREENPET,MDL-0093,880191432649,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 093 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,GREENPET 제조사,과세,판매중,전시안함,,12706817324
95,94,[MOON] 더미 상품 094 (화이트/S),디지털/가전 > 모니터,16500,94,색상,화이트,사이즈,S,MOON,MDL-0094,880149300102,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 094 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: S, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,베트남,MOON 제조사,면세,품절,전시중,,12706817384
96,95,[URBANWEAR] 더미 상품 095 (화이트/M),패션의류 > 하의 > 청바지,142500,56,색상,화이트,사이즈,M,URBANWEAR,MDL-0095,880192366408,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 095 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: M, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,국산,URBANWEAR 제조사,과세,품절,전시안함,,12706817462
97,96,[STARLINE] 더미 상품 096 (베이지/XL),패션의류 > 하의 > 청바지,46000,99,색상,베이지,사이즈,XL,STARLINE,MDL-0096,880392197862,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 096 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,독일,STARLINE 제조사,면세,품절,전시안함,,12706817537
98,97,[URBANWEAR] 더미 상품 097 (그레이/270),디지털/가전 > 노트북,125500,160,색상,그레이,사이즈,270,URBANWEAR,MDL-0097,880144415339,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 097 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 270, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,베트남,URBANWEAR 제조사,면세,판매중,전시안함,,12706817621
99,98,[HOMEPLUS] 더미 상품 098 (블랙/S),디지털/가전 > 노트북,125500,169,색상,블랙,사이즈,S,HOMEPLUS,MDL-0098,880635474764,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 098 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: S, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,HOMEPLUS 제조사,면세,판매중,전시안함,,12706817704
100,99,[COOKMASTER] 더미 상품 099 (그레이/260),생활/주방 > 주방용품 > 프라이팬,92500,197,색상,그레이,사이즈,260,COOKMASTER,MDL-0099,880460300450,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 099 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,COOKMASTER 제조사,과세,품절,전시안함,,12706817762
101,100,[TECHONE] 더미 상품 100 (화이트/XL),식품 > 과자/간식 > 과자,12000,38,색상,화이트,사이즈,XL,TECHONE,MDL-0100,880423573239,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 100 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: XL, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,독일,TECHONE 제조사,면세,품절,전시안함,,12706817822
102,101,[URBANWEAR] 더미 상품 101 (그레이/S),패션잡화 > 가방 > 백팩,35500,122,색상,그레이,사이즈,S,URBANWEAR,MDL-0101,880466213408,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 101 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,미국,URBANWEAR 제조사,면세,품절,전시중,,12706817902
103,102,[GREENPET] 더미 상품 102 (블랙/M),디지털/가전 > 노트북,53000,31,색상,블랙,사이즈,M,GREENPET,MDL-0102,880690137991,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 102 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,중국,GREENPET 제조사,면세,품절,전시안함,,12706817979
104,103,[STARLINE] 더미 상품 103 (그레이/XL),반려동물 > 강아지용품 > 사료,7000,10,색상,그레이,사이즈,XL,STARLINE,MDL-0103,880110581947,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 103 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,STARLINE 제조사,면세,판매중,전시중,,12706818060
105,104,[URBANWEAR] 더미 상품 104 (화이트/270),패션의류 > 상의 > 티셔츠,91000,15,색상,화이트,사이즈,270,URBANWEAR,MDL-0104,880515269401,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 104 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,미국,URBANWEAR 제조사,면세,품절,전시안함,,12706818120
106,105,[STARLINE] 더미 상품 105 (네이비/M),디지털/가전 > 모니터,61000,169,색상,네이비,사이즈,M,STARLINE,MDL-0105,880824878357,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 105 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: M, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,일본,STARLINE 제조사,과세,품절,전시안함,,12706818181
107,106,[URBANWEAR] 더미 상품 106 (베이지/250),디지털/가전 > 노트북,53000,127,색상,베이지,사이즈,250,URBANWEAR,MDL-0106,880462134245,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 106 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 250, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,중국,URBANWEAR 제조사,면세,판매중,전시안함,,12706818246
108,107,[MOON] 더미 상품 107 (화이트/M),식품 > 과자/간식 > 과자,55500,79,색상,화이트,사이즈,M,MOON,MDL-0107,880419133085,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 107 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: M, 카테고리: 식품 > 과자/간식 > 과자.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,MOON 제조사,과세,품절,전시중,,12706818325
109,108,[GREENPET] 더미 상품 108 (그레이/M),디지털/가전 > 노트북,83000,24,색상,그레이,사이즈,M,GREENPET,MDL-0108,880893748927,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 108 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,미국,GREENPET 제조사,면세,판매중,전시안함,,12706818388
110,109,[NAVYFOX] 더미 상품 109 (그레이/260),반려동물 > 강아지용품 > 사료,78500,6,색상,그레이,사이즈,260,NAVYFOX,MDL-0109,880126189605,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 109 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,독일,NAVYFOX 제조사,면세,판매중,전시안함,,12706818469
111,110,[MOON] 더미 상품 110 (베이지/260),디지털/가전 > 모니터,78000,123,색상,베이지,사이즈,260,MOON,MDL-0110,880240776632,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 110 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 260, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,중국,MOON 제조사,과세,품절,전시안함,,12706818530
112,111,[MOON] 더미 상품 111 (블랙/260),패션의류 > 하의 > 청바지,136000,37,색상,블랙,사이즈,260,MOON,MDL-0111,880351165184,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 111 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 260, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,MOON 제조사,과세,품절,전시중,,12706818597
113,112,[COOKMASTER] 더미 상품 112 (그레이/S),디지털/가전 > 노트북,19500,73,색상,그레이,사이즈,S,COOKMASTER,MDL-0112,880328010635,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 112 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: S, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,베트남,COOKMASTER 제조사,면세,판매중,전시중,,12706818654
114,113,[COOKMASTER] 더미 상품 113 (블랙/S),패션잡화 > 가방 > 백팩,74500,107,색상,블랙,사이즈,S,COOKMASTER,MDL-0113,880176156211,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 113 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: S, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,베트남,COOKMASTER 제조사,면세,품절,전시안함,,12706818722
115,114,[HOMEPLUS] 더미 상품 114 (블랙/260),디지털/가전 > 모니터,36000,131,색상,블랙,사이즈,260,HOMEPLUS,MDL-0114,880556981558,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 114 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: 260, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,HOMEPLUS 제조사,면세,품절,전시중,,12706818791
116,115,[URBANWEAR] 더미 상품 115 (그레이/FREE),디지털/가전 > 모니터,26000,161,색상,그레이,사이즈,FREE,URBANWEAR,MDL-0115,880743210937,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 115 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: FREE, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,URBANWEAR 제조사,과세,품절,전시중,,12706818858
117,116,[NAVYFOX] 더미 상품 116 (네이비/M),디지털/가전 > 노트북,109000,79,색상,네이비,사이즈,M,NAVYFOX,MDL-0116,880939051838,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 116 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: M, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,미국,NAVYFOX 제조사,과세,품절,전시중,,12706818921
118,117,[COOKMASTER] 더미 상품 117 (네이비/XL),패션의류 > 하의 > 청바지,144500,67,색상,네이비,사이즈,XL,COOKMASTER,MDL-0117,880178959791,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 117 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,일본,COOKMASTER 제조사,면세,품절,전시안함,,12706818999
119,118,[COOKMASTER] 더미 상품 118 (화이트/270),패션잡화 > 가방 > 백팩,117000,143,색상,화이트,사이즈,270,COOKMASTER,MDL-0118,880617994238,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 118 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,COOKMASTER 제조사,과세,품절,전시중,,12706819062
120,119,[STARLINE] 더미 상품 119 (레드/270),생활/주방 > 주방용품 > 프라이팬,37000,136,색상,레드,사이즈,270,STARLINE,MDL-0119,880603161682,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 119 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 270, 카테고리: 생활/주방 > 주방용품 > 프라이팬.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,STARLINE 제조사,면세,품절,전시안함,,12706819124
