상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,에러타입,에러메시지
348,[DIGIPRO] 더미 상품 348 (그린/260),식품 > 과자/간식 > 과자,20040,174,색상,그린,사이즈,260,DIGIPRO,DIG13612,8857262917392,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,일본,DIGIPRO 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 349: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
351,[MOON] 더미 상품 351 (화이트/S),식품 > 과자/간식 > 과자,93360,12,색상,화이트,사이즈,S,MOON,MOO45138,8828314612283,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,MOON 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 352: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
352,[URBANWEAR] 더미 상품 352 (화이트/S),식품 > 과자/간식 > 과자,30340,100,색상,화이트,사이즈,S,URBANWEAR,URB34035,8897090973385,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,미국,URBANWEAR 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 353: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
354,[TECHONE] 더미 상품 354 (네이비/FREE),생활/주방 > 수납/정리,152820,97,색상,네이비,사이즈,FREE,TECHONE,TEC65390,8866044309155,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,일본,TECHONE 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 355: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 수납/정리'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
355,[COOKMASTER] 더미 상품 355 (블루/FREE),식품 > 밀키트 > 반조리,119260,104,색상,블루,사이즈,FREE,COOKMASTER,COO14407,8813134653433,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,COOKMASTER 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 356: 카테고리 매핑을 찾을 수 없습니다: '식품 > 밀키트 > 반조리'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
356,[GREENPET] 더미 상품 356 (블루/XL),디지털/가전 > 키보드,257220,180,색상,블루,사이즈,XL,GREENPET,GRE34787,8839172528224,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,독일,GREENPET 제조사,면세,판매중,전시안함,VALIDATION_ERROR,"행 357: 카테고리 매핑을 찾을 수 없습니다: '디지털/가전 > 키보드'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
359,[NAVYFOX] 더미 상품 359 (화이트/270),생활/주방 > 주방용품 > 프라이팬,218170,146,색상,화이트,사이즈,270,NAVYFOX,NAV17840,8869513953178,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,NAVYFOX 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 360: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 주방용품 > 프라이팬'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
360,[COOKMASTER] 더미 상품 360 (레드/L),식품 > 밀키트 > 반조리,279670,45,색상,레드,사이즈,L,COOKMASTER,COO56468,8854194076495,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,독일,COOKMASTER 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 361: 카테고리 매핑을 찾을 수 없습니다: '식품 > 밀키트 > 반조리'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
363,[COOKMASTER] 더미 상품 363 (레드/250),패션의류 > 상의 > 셔츠,66020,273,색상,레드,사이즈,250,COOKMASTER,COO47674,8810676152138,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,미국,COOKMASTER 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 364: 카테고리 매핑을 찾을 수 없습니다: '패션의류 > 상의 > 셔츠'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
365,[URBANWEAR] 더미 상품 365 (베이지/S),디지털/가전 > 마우스,265990,204,색상,베이지,사이즈,S,URBANWEAR,URB11884,8889058017438,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,일본,URBANWEAR 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 366: 카테고리 매핑을 찾을 수 없습니다: '디지털/가전 > 마우스'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
369,[FASHIONLAB] 더미 상품 369 (그린/M),패션의류 > 하의 > 슬랙스,143210,23,색상,그린,사이즈,M,FASHIONLAB,FAS43902,8815095445422,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,독일,FASHIONLAB 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 370: 카테고리 매핑을 찾을 수 없습니다: '패션의류 > 하의 > 슬랙스'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
370,[STARLINE] 더미 상품 370 (베이지/XL),패션의류 > 상의 > 셔츠,298020,263,색상,베이지,사이즈,XL,STARLINE,STA47977,8836303337237,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,일본,STARLINE 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 371: 카테고리 매핑을 찾을 수 없습니다: '패션의류 > 상의 > 셔츠'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
371,[HOMEPLUS] 더미 상품 371 (그린/M),디지털/가전 > 키보드,153020,168,색상,그린,사이즈,M,HOMEPLUS,HOM60060,8817018257194,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,일본,HOMEPLUS 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 372: 카테고리 매핑을 찾을 수 없습니다: '디지털/가전 > 키보드'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
373,[MOON] 더미 상품 373 (그린/M),생활/주방 > 생활용품 > 청소도구,204710,136,색상,그린,사이즈,M,MOON,MOO67989,8849985219423,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,MOON 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 374: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 생활용품 > 청소도구'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
374,[NAVYFOX] 더미 상품 374 (블루/S),디지털/가전 > 키보드,260170,202,색상,블루,사이즈,S,NAVYFOX,NAV50252,8886480780301,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,NAVYFOX 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 375: 카테고리 매핑을 찾을 수 없습니다: '디지털/가전 > 키보드'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
375,[URBANWEAR] 더미 상품 375 (베이지/M),반려동물 > 고양이용품 > 간식,19390,142,색상,베이지,사이즈,M,URBANWEAR,URB41421,8815656296434,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,URBANWEAR 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 376: 카테고리 매핑을 찾을 수 없습니다: '반려동물 > 고양이용품 > 간식'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
377,[COOKMASTER] 더미 상품 377 (그레이/L),식품 > 농산물 > 과일,11680,162,색상,그레이,사이즈,L,COOKMASTER,COO67305,8808641021778,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,COOKMASTER 제조사,면세,판매중,전시안함,VALIDATION_ERROR,"행 378: 카테고리 매핑을 찾을 수 없습니다: '식품 > 농산물 > 과일'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
378,[HOMEPLUS] 더미 상품 378 (블랙/M),패션의류 > 하의 > 슬랙스,26460,167,색상,블랙,사이즈,M,HOMEPLUS,HOM45249,8845717126775,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,HOMEPLUS 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 379: 카테고리 매핑을 찾을 수 없습니다: '패션의류 > 하의 > 슬랙스'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
379,[TECHONE] 더미 상품 379 (그린/250),디지털/가전 > 마우스,52510,59,색상,그린,사이즈,250,TECHONE,TEC42830,8826370085004,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,베트남,TECHONE 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 380: 카테고리 매핑을 찾을 수 없습니다: '디지털/가전 > 마우스'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
380,[DIGIPRO] 더미 상품 380 (블랙/M),생활/주방 > 수납/정리,115910,244,색상,블랙,사이즈,M,DIGIPRO,DIG54131,8815944918119,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,독일,DIGIPRO 제조사,과세,품절,전시중,VALIDATION_ERROR,"행 381: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 수납/정리'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
382,[DIGIPRO] 더미 상품 382 (화이트/M),식품 > 과자/간식 > 과자,27830,70,색상,화이트,사이즈,M,DIGIPRO,DIG35467,8803015734308,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,일본,DIGIPRO 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 383: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
385,[COOKMASTER] 더미 상품 385 (네이비/270),식품 > 농산물 > 과일,280240,207,색상,네이비,사이즈,270,COOKMASTER,COO59012,8895239682653,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,COOKMASTER 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 386: 카테고리 매핑을 찾을 수 없습니다: '식품 > 농산물 > 과일'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
387,[HOMEPLUS] 더미 상품 387 (네이비/260),식품 > 밀키트 > 반조리,51610,182,색상,네이비,사이즈,260,HOMEPLUS,HOM47887,8838038572204,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,중국,HOMEPLUS 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 388: 카테고리 매핑을 찾을 수 없습니다: '식품 > 밀키트 > 반조리'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
388,[HOMEPLUS] 더미 상품 388 (그린/FREE),반려동물 > 고양이용품 > 간식,153270,235,색상,그린,사이즈,FREE,HOMEPLUS,HOM79614,8873328412608,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,HOMEPLUS 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 389: 카테고리 매핑을 찾을 수 없습니다: '반려동물 > 고양이용품 > 간식'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
389,[HOMEPLUS] 더미 상품 389 (베이지/M),식품 > 밀키트 > 반조리,12910,135,색상,베이지,사이즈,M,HOMEPLUS,HOM34114,8868782460214,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,HOMEPLUS 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 390: 카테고리 매핑을 찾을 수 없습니다: '식품 > 밀키트 > 반조리'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
390,[HOMEPLUS] 더미 상품 390 (그린/260),반려동물 > 고양이용품 > 간식,182180,41,색상,그린,사이즈,260,HOMEPLUS,HOM21804,8884977777336,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,HOMEPLUS 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 391: 카테고리 매핑을 찾을 수 없습니다: '반려동물 > 고양이용품 > 간식'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
391,[FASHIONLAB] 더미 상품 391 (블루/260),식품 > 과자/간식 > 과자,119230,223,색상,블루,사이즈,260,FASHIONLAB,FAS46786,8812168751341,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,FASHIONLAB 제조사,면세,품절,전시중,VALIDATION_ERROR,"행 392: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
393,[HOMEPLUS] 더미 상품 393 (레드/FREE),디지털/가전 > 마우스,292720,22,색상,레드,사이즈,FREE,HOMEPLUS,HOM47728,8872478763239,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,HOMEPLUS 제조사,과세,품절,전시중,VALIDATION_ERROR,"행 394: 카테고리 매핑을 찾을 수 없습니다: '디지털/가전 > 마우스'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
399,[STARLINE] 더미 상품 399 (레드/L),식품 > 과자/간식 > 과자,196420,176,색상,레드,사이즈,L,STARLINE,STA40656,8850322870555,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,베트남,STARLINE 제조사,과세,판매중,전시안함,VALIDATION_ERROR,"행 400: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
402,[TECHONE] 더미 상품 402 (레드/250),패션의류 > 아우터 > 코트,176040,0,색상,레드,사이즈,250,TECHONE,TEC63019,8856498728592,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,일본,TECHONE 제조사,과세,품절,전시중,API_ERROR,400 Bad Request from POST https://api.commerce.naver.com/external/v2/products
404,[COOKMASTER] 더미 상품 404 (그린/FREE),식품 > 과자/간식 > 과자,50290,105,색상,그린,사이즈,FREE,COOKMASTER,COO56142,8861146172152,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,일본,COOKMASTER 제조사,면세,품절,전시중,VALIDATION_ERROR,"행 405: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
406,[FASHIONLAB] 더미 상품 406 (레드/FREE),패션의류 > 상의 > 셔츠,280390,71,색상,레드,사이즈,FREE,FASHIONLAB,FAS53990,8839860714878,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,FASHIONLAB 제조사,면세,품절,전시안함,VALIDATION_ERROR,"행 407: 카테고리 매핑을 찾을 수 없습니다: '패션의류 > 상의 > 셔츠'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
407,[MOON] 더미 상품 407 (레드/XL),생활/주방 > 수납/정리,60200,115,색상,레드,사이즈,XL,MOON,MOO66363,8823094138053,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,MOON 제조사,과세,판매중,전시중,VALIDATION_ERROR,"행 408: 카테고리 매핑을 찾을 수 없습니다: '생활/주방 > 수납/정리'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
408,[DIGIPRO] 더미 상품 408 (블랙/270),식품 > 과자/간식 > 과자,151870,283,색상,블랙,사이즈,270,DIGIPRO,DIG68657,8837546179100,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,중국,DIGIPRO 제조사,면세,품절,전시중,VALIDATION_ERROR,"행 409: 카테고리 매핑을 찾을 수 없습니다: '식품 > 과자/간식 > 과자'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
409,[GREENPET] 더미 상품 409 (네이비/250),디지털/가전 > 키보드,272320,108,색상,네이비,사이즈,250,GREENPET,GRE85716,8854387913512,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,일본,GREENPET 제조사,과세,품절,전시안함,VALIDATION_ERROR,"행 410: 카테고리 매핑을 찾을 수 없습니다: '디지털/가전 > 키보드'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
411,[URBANWEAR] 더미 상품 411 (레드/250),패션의류 > 하의 > 슬랙스,202960,23,색상,레드,사이즈,250,URBANWEAR,URB89854,8891799991749,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,국산,URBANWEAR 제조사,면세,판매중,전시중,VALIDATION_ERROR,"행 412: 카테고리 매핑을 찾을 수 없습니다: '패션의류 > 하의 > 슬랙스'. 엑셀 파일의 카테고리 컬럼을 숫자 ID로 변경하거나, 네이버 스마트스토어에서 확인한 정확한 카테고리 경로를 사용하세요."
